Plants Non-Toxic to Cats
Chinese Plumbago |   | Ceratostigma willmottianum | Plumbaginaceae
Chlorophytum | Ribbon Plant, Spider Ivy, Spider Plant  | Anthericum comosum | Asparagaceae
Chlorophytum bichetti | Saint Bernard's Lily  | Chlorophytum bichetti | Liliaceae
Chocolate Soldier | Lace-Flower Vine, Episcia  | Episcia dianthiflora | Gesneriaceae
Christmas Cactus | Easter Cactus  | Schlumbergera bridgesii | Cactaceae
Christmas Dagger | Christmas Dagger Fern  | Polystichum acrostichoides | Dryopteridaceae
Christmas Orchid | Winter Cattleya  | Cattleya trianaei | Orchidaceae
Christmas Palm | Manila Palm  | Adonidia merrillii | Arecaceae
Cilantro | Coriander, Chinese Parsley, Dhania  | Coriandrum sativum | Apiaceae
Cinnamon |   | Cinnamomum zeylanicum | Lauraceae
Cinquefoil | Silver Cinquefoil, Shrubby Cinquefoil, Rough Cinquefoil, Sulfur Cinquefoil, Rock Cinquefoil  | Potentilla spp. | Rosaceae
Cirrhopetalum | Old World Orchid  | Bulbophyllum appendiculatum | Orchidaceae
Clearweed | Coolwort, Richweed  | Pilea pumila | Urticaceae
Cliff Brake | Button Fern, Green Cliff Brack, Cliff Break  | Pellaea rotundifolia | Pteridaceae
Club Moss | Cushion Moss, Irish Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss  | Selaginella kraussiana | Selaginellaceae
Cocks Comb | Pile Wort, Lady Bleeding, Red Cocks Comb  | Amaranthus hypochondriacus | Amaranthaceae
Cocktail Orchid |   | Cattleya forbesii | Orchidaceae
Collinia Elegans | Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm  | Chamaedorea elegans | Palmae
Common Camellia | Camellia, Peony Camellia  | Camellia japonica; Thea japonica | Theaceae
Common Catbrier | Catbrier, Horsebrier, Common Greenbrier  | Smilax rotundifolia | Liliaceae
Common Garden Canna | Common Garden Canna  | Canna generalis | Cannaceae
Common Greenbrier | Catbrier, Horsebrier, Common Greenbrier  | Smilax rotundifolia | Liliaceae
Common Snapdragon | Garden Snapdragon  | Antirrhinum majus | Scrophulariaceae
Common Staghorn Fern |   | Platycerium bifurcatum | Polypodiaceae
Confederate Jasmine | Star Jasmine  | Trachelospermum jasminoides | Family:
Coolwort | Clearweed, Richweed  | Pilea pumila | Urticaceae
Copper Rose |   | Echeveria multicaulis | Crassulaceae
Coral Bells | Coral Bells, Heuchera  | Heuchera sanguinea | Saxifragaceae
Coreopsis | Tickseed  | Coreopsis spp. | Compositae
Cornflower | Bachelor's Buttons, Bluebottle  | Centaurea cyanus | Asteraceae
